X;Y;angulo;fecha_actualizacion;hora_actualizacion;idpm;ih
725900.007;4372288.805;35;2018-03-28;00:45:01;101;383
725541.473;4371975.50499999989;164;2018-03-28;00:45:01;103;688
725371.153;4372023.247;154;2018-03-28;00:45:01;105;731
725265.054;4372052.205;236;2018-03-28;00:45:01;106;209
725318.289;4371865.739;60;2018-03-28;00:45:01;108;354
725642.985;4371969.74;84;2018-03-28;00:45:01;109;108
725643.827;4372117.66399999987;266;2018-03-28;00:45:01;110;191
725766.311;4372128.421;356;2018-03-28;00:45:01;111;82
725907.617;4372109.79;272;2018-03-28;00:45:01;112;124
725517.783;4369429.53199999966;174;;;4318
725493.45;4369428.207;354;;;4317;
726147.506;4372554.14599999972;167;2018-03-28;00:45:01;218;164
726239.968;4372808.14099999983;273;2018-03-28;00:45:01;220;396
726284.409;4372890.40799999982;54;2018-03-28;00:45:01;222;124
725946.934;4373179.836;59;2018-03-28;00:45:01;223;92
725851.861;4373194.87899999972;334;2018-03-28;00:45:01;224;759
726237.792;4372041.818;120;2018-03-28;00:45:01;225;40
726341.359;4372270.29899999965;181;2018-03-28;00:45:01;226;124
726486.1;4372006.206;211;2018-03-28;00:45:01;315;417
726447.395;4371947.22;31;2018-03-28;00:45:01;316;332
726567.401;4371912.25899999961;120;2018-03-28;00:45:01;317;82
726647.506;4372063.87299999967;31;2018-03-28;00:45:01;318;333
725817.248;4371590.99899999984;31;2018-03-28;00:45:01;320;437
726772.539;4372115.122;5;2018-03-28;00:45:01;321;564
726227.991;4371608.93;166;2018-03-28;00:45:01;322;82
725601.455;4371455.774;31;2018-03-28;00:45:01;323;146
725602.401;4371590.363;256;2018-03-28;00:45:01;324;146
724784.584;4371723.122;60;2018-03-28;00:45:04;830;20
724710.103;4372251.582;229;2018-03-28;00:45:04;831;61
724648.799;4371885.99;302;2018-03-28;00:45:04;832;104
724165.225;4372504.54399999976;31;2018-03-28;00:45:04;833;30
725928.384;4372134.30599999987;2;2018-03-28;00:45:01;113;62
725972.247;4372203.16299999971;177;2018-03-28;00:45:01;114;36
725901.875;4372257.23099999968;272;2018-03-28;00:45:01;115;155
725862.244;4372416.03899999987;277;2018-03-28;00:45:01;116;146
725770.573;4372266.82299999986;4;2018-03-28;00:45:01;119;463
725619.487;4372253.741;156;2018-03-28;00:30:00;122;18
725531.858;4372179.65799999982;341;2018-03-28;00:45:01;123;137
725501.084;4372203.60699999984;60;2018-03-28;00:45:01;124;192
725522.464;4372294.854;151;2018-03-27;23:30:02;125;90
725437.258;4372219.927;334;2018-03-28;00:30:01;126;18
725442.941;4372096.677;61;2018-03-28;00:45:01;127;239
725307.178;4372116.832;235;2018-03-28;00:45:01;128;124
725394.879;4372425.75299999956;274;2018-03-28;00:45:01;129;120
725410.964;4372162.478;273;2018-03-28;00:45:01;130;20
725633.905;4372463.52;122;2018-03-28;00:45:01;135;64
723631.887;4371007.625;52;2018-03-28;00:45:03;726;110
723597.188;4370981.319;230;2018-03-28;00:45:03;727;291
723969.993;4371503.092;185;2018-03-28;00:45:03;728;83
723718.132;4371457.295;275;2018-03-28;00:30:01;730;42
723621.823;4371462.325;4;2018-03-28;00:45:03;732;20
723593.913;4371444.926;275;2018-03-28;00:45:03;733;20
723582.234;4371472.704;184;2018-03-28;00:30:01;734;20
723409.856;4371446.38399999961;5;2018-03-28;00:45:03;735;20
723359.741;4371454.437;185;2018-03-28;00:45:03;736;20
724213.656;4372874.463;32;2018-03-28;00:45:04;834;42
724071.25;4371985.875;184;2018-03-28;00:45:04;901;333
723662.331;4372027.971;349;2018-03-28;00:45:04;902;20
723506.647;4372060.454;169;2018-03-28;00:45:04;903;82
723241.631;4372105.383;349;2018-03-28;00:45:04;904;292
722640.637;4372094.295;6;2018-03-28;00:45:04;905;84
722487.602;4372081.212;186;2018-03-28;00:45:04;906;20
722462.807;4372063.27099999972;7;2018-03-28;00:45:04;907;543
725912.241;4371983.466;224;2018-03-28;00:45:01;202;333
725971.652;4372041.501;222;2018-03-23;07:30:00;203;758
726129.779;4372192.12899999972;225;2018-03-28;00:45:01;204;270
726673.149;4371497.35599999968;165;2018-03-28;00:45:02;404;124
726641.591;4371562.94099999964;300;2018-03-28;00:45:02;405;82
726712.95;4371656.91899999976;120;2018-03-28;00:45:02;406;41
726687.711;4371432.474;210;2018-03-28;00:45:02;407;162
726758.591;4371459.42899999954;345;2018-03-28;00:45:02;408;82
726880.234;4371545.45799999963;211;2018-03-28;00:45:02;409;93
726935.764;4371724.543;297;2018-03-28;00:45:02;410;207
726980.239;4371462.79899999965;30;2018-03-28;00:45:02;434;187
725877.512;4370634.96;122;2018-03-28;00:45:02;502;185
726171.703;4370992.07;30;2018-03-28;00:45:02;510;312
726381.753;4370988.144;124;2018-03-28;00:45:02;511;83
726324.619;4371109.165;109;2018-03-28;00:45:02;512;30
726339.585;4371228.836;210;2018-03-28;00:30:01;513;22
726487.801;4371176.019;30;2018-03-28;00:45:02;514;270
726658.508;4371319.564;120;2018-03-28;00:30:01;515;20
726604.991;4371411.58;120;2018-03-28;00:45:02;516;20
722278.28;4372054.97599999979;7;2018-03-28;00:30:02;908;20
722486.779;4372090.24199999962;186;2018-03-28;00:45:04;909;354
723168.134;4372414.064;280;2018-03-28;00:45:04;910;332
723194.282;4372349.042;101;2018-03-28;00:45:04;911;312
723078.264;4372436.148;0;2018-03-28;00:30:02;912;42
723295.588;4372439.426;183;2018-03-28;00:45:04;913;45
723817.676;4372663.416;16;2018-03-28;00:45:04;914;62
723171.832;4372529.847;101;2018-03-28;00:45:04;915;144
724136.52;4372236.42499999981;30;2018-03-28;00:00:00;916;62
723905.63;4372321.21499999985;339;2018-03-28;00:45:04;917;30
723735.022;4372399.586;88;2018-03-28;00:15:01;918;30
722910.936;4372136.16399999987;186;2018-03-28;00:45:04;919;271
723310.25;4372518.284;15;2018-03-28;00:45:04;920;166
724400.147;4373145.49;300;2018-03-28;00:45:05;1018;229
724358.39;4373241.99;121;2018-03-28;00:45:05;1019;354
724399.27;4373556.863;211;2018-03-28;00:45:05;1020;20
724569.139;4373253.21899999958;203;2018-03-28;00:45:05;1021;374
724959.031;4373493.961;214;2018-03-28;00:45:05;1022;83
726514.39;4372383.64499999955;329;2018-03-28;00:45:01;207;104
726378.818;4372714.604;304;2018-03-28;00:45:01;209;334
726516.222;4372511.365;305;2018-03-28;00:45:01;210;165
726673.755;4372342.689;32;2018-03-28;00:45:01;211;104
726292.58;4372597.417;303;2015-10-16;10:45:03;212;1639
726198.239;4372396.86099999957;68;2018-03-28;00:45:01;213;145
725953.143;4373137.523;324;2018-03-28;00:45:01;214;585
726349.864;4372286.96499999985;119;2018-03-28;00:45:01;215;43
725837.975;4372624.473;167;2018-03-28;00:45:01;217;155
726687.746;4372205.837;299;2015-10-16;10:45:06;229;1549
723741.532;4371999.02199999988;348;2018-03-28;00:45:04;921;437
723050.841;4372469.729;194;2018-03-28;00:45:04;922;126
724086.279;4371940.525;348;2018-03-28;00:45:04;923;290
724224.336;4372029.23699999973;196;2018-03-28;00:45:04;924;375
723815.441;4372668.284;16;2018-03-28;00:45:04;925;104
723307.421;4372528.036;15;2018-03-28;00:45:05;927;161
723664.604;4372039.46899999958;169;2018-03-28;00:45:05;928;437
723725.702;4372578.03299999982;194;2018-03-28;00:45:05;929;60
724918.423;4373448.62799999956;33;2018-03-28;00:45:05;1034;20
724999.939;4373480.386;301;2018-03-28;00:45:05;1035;61
725127.28;4373585.81099999975;209;2018-03-28;00:45:05;1036;334
724613.112;4373265.77599999961;212;2018-03-28;00:45:05;1037;271
724935.663;4373625.258;120;2018-03-28;00:45:05;1038;41
725006.22;4373942.932;209;2018-03-28;00:45:05;1040;41
725130.595;4373954.62299999967;359;2018-03-28;00:45:05;1041;103
725329.269;4373643.713;356;2018-03-28;00:45:05;1101;62
725385.117;4373651.587;178;2018-03-28;00:45:05;1102;541
725545.291;4373642.571;177;2018-03-28;00:45:05;1104;395
725441.0;4373861.32699999958;265;2018-03-28;00:45:05;1105;102
725606.899;4373645.517;358;2018-03-28;00:45:05;1106;20
726068.638;4373892.791;244;2018-03-28;00:45:06;1125;126
725950.156;4373620.501;246;2018-03-28;00:45:06;1126;145
725676.554;4374040.724;9;2018-03-28;00:15:01;1136;20
725790.094;4374056.96899999958;9;2018-03-28;00:15:01;1138;20
725961.131;4374082.416;0;2018-03-28;00:45:06;1141;20
726014.546;4373957.26599999983;72;2018-03-28;00:45:06;1142;20
726068.694;4374032.826;309;2018-03-28;00:30:02;1144;20
725891.363;4371742.048;113;2018-03-28;00:45:01;302;333
726016.919;4371831.11799999978;300;2018-03-28;00:45:01;303;43
726036.659;4371744.244;210;2018-03-28;00:45:01;304;332
726124.969;4371795.87299999967;209;2018-03-28;00:45:01;305;290
725995.301;4371651.459;346;2018-03-28;00:45:01;306;145
726025.273;4371538.59499999974;130;2018-03-28;00:45:01;307;105
726081.316;4371645.42499999981;165;2018-03-28;00:45:01;308;82
726086.096;4371706.88;300;2018-03-28;00:45:01;309;41
726097.003;4371741.75399999972;31;2018-03-28;00:45:01;310;353
726179.608;4371938.847;300;2018-03-28;00:45:01;311;20
726292.25;4371893.224;211;2018-03-28;00:45:01;312;416
725519.775;4371231.961;117;2018-03-28;00:45:03;533;125
725566.688;4371218.927;30;2018-03-28;00:30:01;534;42
725444.99;4370580.331;13;2018-03-28;00:45:03;601;292
725095.147;4370687.519;81;2018-03-28;00:45:03;602;145
724763.603;4371456.997;121;2018-03-28;00:45:03;603;227
726253.733;4374090.72599999979;345;2018-03-28;00:45:06;1145;20
726094.32;4374012.392;121;2018-03-27;21:45:05;1146;30
725958.478;4374139.909;257;2018-03-28;00:15:01;1149;20
725756.556;4374085.565;108;2018-03-28;00:45:06;1150;41
725782.382;4373929.14499999955;177;2018-03-28;00:45:06;1156;62
725307.285;4373957.67899999954;177;2018-03-28;00:45:06;1157;41
725927.457;4373929.19799999986;349;2018-03-28;00:45:06;1158;40
725878.226;4373367.899;239;2018-03-28;00:45:06;1161;125
725272.363;4374493.315;18;2018-03-28;00:45:06;1201;249
725381.752;4374655.048;296;2018-03-28;00:45:06;1202;145
725760.63;4374391.09399999958;76;2018-03-28;00:45:06;1203;42
725525.644;4374587.84399999958;197;2018-03-28;00:45:06;1204;329
725701.866;4374438.51;242;2018-03-28;00:45:06;1208;61
725683.541;4374639.51;198;2018-03-28;00:45:06;1209;124
724873.806;4374370.88;18;2018-03-28;00:45:07;1210;208
724963.482;4374407.07299999986;198;2018-03-28;00:45:07;1211;250
728310.101;4373413.29399999976;161;2018-03-28;00:45:09;2045;229
728025.307;4373509.00499999989;161;2018-03-28;00:45:09;2046;272
727913.152;4372829.06699999981;359;2018-03-28;00:45:09;2050;62
727490.047;4371852.52199999988;167;2018-03-28;00:00:00;2101;42
727798.495;4371585.905;254;2018-03-28;00:45:09;2107;249
727842.702;4371669.479;74;2018-03-28;00:45:09;2108;165
727840.004;4371736.71899999958;254;2018-03-28;00:45:09;2113;354
727792.434;4372096.568;341;2018-03-28;00:45:09;2114;42
725228.923;4375052.07699999958;291;2018-03-28;00:45:07;1212;61
725922.736;4374607.655;138;2018-03-28;00:45:07;1214;250
725880.934;4374617.944;318;2018-03-28;00:45:07;1215;62
725609.976;4374601.92399999965;18;2018-03-28;00:45:07;1216;166
725644.629;4374607.00299999956;17;2018-03-28;00:45:07;1217;188
725965.353;4374559.50399999972;139;2018-03-28;00:45:07;1218;208
725387.088;4374544.422;197;2018-03-28;00:45:07;1220;311
725195.291;4374474.91399999987;18;2018-03-28;00:45:07;1221;42
725267.909;4374978.234;106;2018-03-28;00:45:07;1222;62
725896.322;4374861.217;246;2018-03-28;00:45:07;1224;210
726433.829;4374004.88499999978;251;2018-03-28;00:30:03;1301;20
726360.939;4374060.15199999977;343;2018-03-28;00:45:07;1302;20
726930.77;4372139.352;185;2018-03-28;00:45:07;1504;458
727812.297;4373136.93499999959;74;2018-03-28;00:45:07;1511;290
727794.602;4373125.579;253;2018-03-28;00:45:07;1512;124
727204.852;4371560.24799999967;198;2018-03-28;00:45:08;1513;292
727307.491;4371640.49199999962;70;2018-03-28;00:45:08;1514;166
727390.636;4371880.206;71;2018-03-28;00:45:08;1515;42
727092.45;4371948.074;114;2018-03-28;00:45:08;1523;416
727153.991;4371761.16299999971;295;2018-03-28;00:45:08;1524;126
727290.163;4372434.137;71;2018-03-28;00:45:08;1525;438
726711.833;4372586.12399999984;305;2018-03-28;00:45:08;1526;83
727602.893;4372492.534;70;2018-03-28;00:45:08;1527;187
727328.126;4371733.37399999984;249;2018-03-28;00:45:08;1528;207
727670.02;4372720.773;251;2018-03-28;00:45:08;1529;110
727195.42;4372017.91899999976;340;2018-03-28;00:45:08;1538;373
727298.266;4371982.258;339;2018-03-28;00:45:08;1539;310
727372.651;4371881.89499999955;161;2018-03-28;00:30:05;1540;84
727395.996;4371927.011;250;2018-03-28;00:45:08;1541;187
727431.224;4371998.422;72;2018-03-28;00:45:08;1542;62
728081.593;4371676.36099999957;160;2018-03-28;00:45:08;1601;103
728661.042;4371692.71399999969;251;2018-03-28;00:45:08;1607;20
728545.086;4371795.632;161;2017-10-26;03:00:05;1609;5
728221.728;4371659.605;341;2018-03-28;00:45:08;1612;226
728397.703;4371597.849;341;2018-03-28;00:45:08;1613;185
728627.169;4371517.513;341;2018-03-28;00:45:08;1614;226
728811.203;4371453.08299999963;341;2018-03-28;00:45:08;1615;249
728776.593;4371385.125;70;2018-03-28;00:45:08;1616;20
728742.842;4371375.689;160;2018-03-28;00:45:08;1617;82
728692.991;4371431.89599999972;71;2018-03-28;00:45:08;1618;20
728576.952;4371450.565;151;2018-03-28;00:45:08;1619;82
728363.591;4371535.104;251;2018-03-28;00:45:08;1620;41
728282.753;4371604.932;160;2018-03-28;00:45:08;1621;42
723605.207;4373416.761;121;2018-03-28;00:45:08;1702;229
723842.764;4373868.252;211;2018-03-28;00:45:08;1714;20
723338.485;4373557.418;31;2018-03-28;00:45:08;1715;166
723270.56;4373536.51;211;2018-03-28;00:45:08;1716;20
723003.329;4373232.205;281;2018-03-28;00:45:08;1717;62
723060.368;4373547.03299999982;78;2018-03-28;00:45:08;1718;62
723055.049;4373567.097;258;2018-03-28;00:45:08;1719;103
728554.469;4372396.64599999972;251;2018-03-28;00:45:08;1801;60
728448.662;4372589.69199999981;341;2018-03-28;00:45:08;1802;224
728598.651;4372604.114;161;2018-03-28;00:45:08;1803;187
728657.713;4372080.66;162;2018-03-28;00:45:08;1809;30
729121.796;4372423.24799999967;161;2018-03-28;00:45:08;1810;102
729033.81;4371951.501;161;2018-03-28;00:45:08;1811;2
728895.859;4371987.89099999983;341;2018-03-28;00:45:08;1812;150
728834.881;4372021.604;162;2018-03-28;00:30:06;1813;20
728220.83;4372902.775;341;2018-03-28;00:45:08;2003;146
728114.098;4372953.394;341;2018-03-28;00:45:08;2006;20
728151.286;4372833.39;254;2018-03-28;00:45:08;2007;229
725885.724;4371176.62299999967;121;2018-03-22;03:00:23;535;10
726595.646;4371205.73599999957;300;2018-03-28;00:45:03;537;62
723784.534;4371216.56699999981;232;2018-03-28;00:45:03;723;45
723746.313;4371153.89599999972;51;2018-03-28;00:45:03;724;108
723672.544;4371076.028;231;2018-03-28;00:45:03;725;283
724595.709;4371708.62;300;2018-03-28;00:45:04;801;146
724598.754;4371711.613;299;2018-03-28;00:45:04;802;230
724436.753;4371978.165;119;2018-03-28;00:45:04;805;42
724443.83;4371999.466;120;2018-03-28;00:45:04;806;61
724617.889;4372146.92499999981;196;2018-03-28;00:45:04;807;542
724503.25;4372112.906;196;2018-03-28;00:45:04;808;625
724329.935;4372158.434;300;2018-03-28;00:45:04;809;103
724896.854;4371778.04899999965;348;2018-03-28;00:45:04;810;248
724295.117;4372225.10099999979;302;2018-03-28;00:45:04;811;146
724213.093;4372386.392;121;2018-03-28;00:45:04;812;362
724260.084;4372899.94;31;2018-03-28;00:45:04;813;103
728099.024;4372649.05399999954;254;2018-03-28;00:45:08;2011;313
728073.574;4372556.562;254;2018-03-28;00:45:08;2012;312
728099.545;4372583.695;74;2018-03-28;00:45:08;2013;186
728167.512;4372551.342;161;2018-03-28;00:45:09;2014;62
728082.295;4372444.705;341;2018-03-28;00:00:00;2018;20
728016.019;4372357.11699999962;254;2018-03-28;00:45:09;2019;400
728053.971;4372269.26499999966;341;2018-03-28;00:45:09;2024;30
727964.039;4372314.241;162;2018-03-28;00:00:00;2025;20
727988.734;4372261.88399999961;254;2018-03-28;00:45:09;2026;417
727961.147;4372164.84399999958;254;2018-03-28;00:45:09;2027;437
727989.332;4372196.637;74;2018-03-28;00:45:09;2028;164
727913.778;4372799.798;341;2018-03-28;00:45:09;2029;333
727925.117;4372813.171;161;2018-03-28;00:45:09;2030;208
727749.164;4372388.738;161;2018-03-23;07:30:10;2031;127
728074.393;4372763.086;161;2018-03-28;00:45:09;2032;167
728189.355;4372679.91;340;2018-03-28;00:45:09;2033;317
723161.389;4370724.803;297;2018-03-28;00:45:10;2403;61
723200.67;4370505.274;226;2018-03-28;00:45:10;2404;480
723353.238;4370680.597;232;2018-03-28;00:45:10;2408;428
723354.565;4370666.888;232;2018-03-28;00:30:10;2409;42
723325.185;4370766.86099999957;297;2018-03-28;00:45:10;2410;20
723157.078;4370434.529;46;2018-03-28;00:45:10;2411;208
723170.246;4370463.60599999968;46;2018-03-28;00:30:10;2412;62
723441.814;4370936.744;117;2018-03-28;00:45:10;2413;208
725725.04;4373544.60099999979;147;2018-03-28;00:45:06;1107;563
725771.878;4373574.40799999982;92;2018-03-28;00:45:06;1108;125
725512.46;4373635.329;357;2018-03-28;00:45:06;1110;20
725637.186;4373588.334;326;2018-03-28;00:45:06;1111;82
725928.087;4373467.007;65;2017-01-17;07:00:14;1112;141
725955.902;4373538.94099999964;65;2018-03-28;00:45:06;1114;20
726003.125;4373613.12899999972;347;2018-03-28;00:00:00;1115;20
726021.905;4373613.89099999983;167;2018-03-28;00:45:06;1116;42
726004.747;4373645.94;64;2018-03-28;00:45:06;1117;40
726069.143;4373729.27;342;2018-03-28;00:00:00;1118;20
726075.035;4373798.382;65;2018-03-28;00:45:06;1119;20
726162.148;4373865.241;161;2018-03-27;22:30:00;1120;15
726156.496;4373908.57799999975;357;2018-03-28;00:45:06;1121;20
726205.075;4373917.40099999961;177;2018-03-28;00:45:06;1122;20
726141.465;4373943.528;65;2018-03-28;00:15:01;1123;40
726046.856;4373925.126;178;2018-03-28;00:45:06;1124;20
727190.44;4372896.15699999966;70;2018-03-28;00:45:07;1428;186
727211.843;4372995.457;249;2018-03-28;00:45:07;1429;40
727102.545;4372918.279;341;2018-03-28;00:00:00;1430;42
726597.343;4372753.45;305;2018-03-28;00:45:07;1432;103
727570.683;4373368.025;239;2018-03-28;00:45:07;1433;84
726477.652;4373146.303;70;2018-03-28;00:45:07;1434;124
728573.341;4371788.73099999968;71;2017-11-18;03:00:27;1608;24
728459.319;4371820.552;251;2017-11-16;03:00:27;1610;6
728076.144;4372669.854;204;2018-03-28;00:45:09;2034;62
728032.94;4372636.109;24;2018-03-28;00:45:09;2035;103
728217.25;4372226.16199999955;161;2018-03-28;00:45:09;2036;62
727853.577;4372340.531;341;2018-03-28;00:45:09;2037;40
728230.18;4373030.433;74;2018-03-28;00:45:09;2038;82
728254.152;4373116.784;74;2018-03-28;00:45:09;2043;82
728455.92;4373334.803;341;2018-03-28;00:45:09;2044;125
727919.35;4372017.643;254;2018-03-28;00:45:09;2116;333
726758.027;4373923.632;341;2018-03-28;00:45:07;1317;20
726714.45;4373953.642;162;2018-03-28;00:45:07;1318;104
726459.22;4374029.872;340;2018-03-28;00:45:07;1319;42
726529.942;4374016.64499999955;160;2018-03-28;00:45:07;1320;42
726426.2;4374054.461;161;2018-03-28;00:00:00;1321;20
726457.293;4374076.565;252;2018-03-28;00:30:03;1322;20
726284.891;4373933.7;72;2018-03-28;00:45:07;1323;82
726677.564;4374023.041;318;2018-03-28;00:00:00;1324;20
726732.003;4373903.44799999986;251;2018-03-28;00:45:07;1325;103
726401.015;4374152.376;317;2018-03-28;00:45:07;1326;229
726086.837;4374437.14099999983;319;2018-03-28;00:45:07;1327;249
726244.157;4374312.59399999958;139;2018-03-28;00:45:07;1328;376
726964.212;4373316.849;70;2018-03-28;00:45:07;1423;126
727371.484;4372824.68099999987;251;2018-03-28;00:45:07;1424;144
727361.0;4372634.854;70;2018-03-28;00:45:07;1425;292
727305.85;4373247.418;71;2018-03-28;00:45:07;1427;217
726638.906;4372636.209;35;2018-03-28;00:45:07;1435;81
727550.665;4372924.176;341;2018-03-28;00:45:07;1436;228
726887.352;4372323.82199999969;303;2018-03-28;00:45:07;1501;82
726991.695;4372247.71;122;2018-03-28;00:45:07;1502;40
723639.025;4373756.019;211;2018-03-28;00:45:08;1703;165
723869.412;4373893.37799999956;211;2018-03-28;00:45:08;1704;82
724037.02;4373817.354;121;2018-03-28;00:45:08;1707;20
723596.526;4373711.849;31;2018-03-28;00:45:08;1712;311
727951.704;4372065.00899999961;74;2018-03-28;00:45:09;2117;228
727656.428;4371092.281;254;2018-03-28;00:45:09;2124;166
727649.991;4370993.88;74;2018-03-28;00:45:09;2125;124
725574.57;4370439.14699999988;261;2018-03-27;22:30:02;2319;42
725568.925;4370301.119;356;2018-03-28;00:45:10;2320;30
725548.736;4370288.295;261;2018-03-28;00:45:10;2321;30
725533.305;4370151.46499999985;81;2018-03-28;00:45:10;2322;120
725516.021;4370092.354;261;2018-03-28;00:45:10;2323;30
728158.335;4372789.495;74;2018-03-28;00:45:08;2008;181
728172.957;4372842.943;74;2018-03-28;00:45:08;2009;133
728242.234;4372807.673;161;2018-03-28;00:45:08;2010;45
728310.039;4373354.79;251;2018-03-28;00:45:09;2039;104
728254.712;4373190.403;254;2018-03-28;00:45:09;2040;61
728283.048;4373213.511;71;2018-03-28;00:45:09;2041;166
728227.659;4373096.354;254;2018-03-28;00:45:09;2042;103
728175.249;4373427.451;341;2015-10-16;10:45:42;2049;1916
727909.036;4371913.59;73;2018-03-28;00:45:09;2119;187
727889.784;4371845.63499999978;73;2018-03-28;00:45:09;2120;187
727954.912;4371718.268;160;2018-03-28;00:45:09;2121;167
727277.254;4371429.154;298;2018-03-28;00:45:09;2122;145
727317.772;4371375.939;118;2018-03-28;00:45:09;2123;166
727516.165;4371297.047;166;2018-03-28;00:45:09;2126;102
727435.834;4371260.579;324;2018-03-28;00:45:09;2127;333
727731.999;4371282.973;74;2018-03-28;00:45:09;2128;104
727551.619;4371893.529;341;2018-03-28;00:45:09;2132;353
727713.263;4371836.95299999975;341;2018-03-28;00:45:09;2133;228
726931.414;4370823.80399999954;210;2018-03-28;00:45:09;2226;12
726931.414;4370823.80399999954;210;2018-03-28;00:45:09;2226;12
726763.178;4370706.956;30;2018-03-28;00:45:09;2227;42
726812.987;4370755.29;210;2018-03-28;00:45:09;2228;20
726812.987;4370755.29;210;2018-03-28;00:45:09;2228;20
726842.218;4370819.48199999984;120;2018-03-28;00:30:08;2230;42
725493.236;4369903.26;81;2018-03-28;00:45:10;2324;120
725481.254;4369876.405;261;2018-03-28;00:45:10;2325;20
725459.825;4369694.076;81;2018-03-28;00:45:10;2326;120
725447.84;4369660.371;261;2018-03-28;00:45:10;2327;20
725782.859;4370532.246;30;2018-03-28;00:30:09;2328;22
725781.389;4370538.012;30;2018-03-28;00:45:10;2329;30
723402.164;4370710.10099999979;51;2018-03-28;00:45:10;2401;353
723258.596;4370454.66299999971;117;2018-03-28;00:15:03;2402;20
723239.399;4370596.05;117;2018-03-28;00:30:09;2405;62
723557.259;4370910.98;51;2018-03-28;00:45:10;2406;134
723435.868;4370789.996;231;2018-03-28;00:45:10;2407;626
723456.683;4370878.843;117;2018-03-28;00:45:10;2414;1
723393.607;4370716.65799999982;51;2018-03-28;00:45:10;2415;20
727096.799;4373809.68099999987;341;2018-03-28;00:45:10;2726;20
725642.798;4370963.69699999969;300;2017-09-15;09:45:02;504;840
725864.365;4370951.437;210;2018-03-28;00:45:02;505;61
725952.122;4370864.234;31;2018-03-28;00:45:02;506;333
726030.746;4371194.78299999982;299;2018-03-28;00:45:02;507;30
726107.83;4371063.30599999987;301;2018-03-28;00:45:02;508;41
726165.832;4371126.717;210;2018-03-28;00:45:02;509;96
726559.594;4371228.293;211;2018-03-28;00:45:02;519;229
726399.313;4371135.131;211;2018-03-28;00:45:02;520;313
726122.794;4370974.286;209;2018-03-28;00:45:02;521;208
725909.29;4370851.216;210;2018-03-28;00:45:02;522;271
725916.398;4370527.53699999955;300;2018-03-28;00:45:02;523;354
726371.333;4371221.81;301;2018-03-28;00:45:02;524;62
726036.582;4370352.67499999981;120;2018-03-28;00:45:02;526;207
726083.655;4371078.667;210;2018-03-28;00:45:02;527;30
728014.744;4371731.855;341;2018-03-28;00:45:09;2134;249
726262.975;4370415.67399999965;30;2018-03-28;00:45:09;2242;60
726382.2;4370504.96;210;2018-03-28;00:45:09;2243;40
723516.406;4370726.045;297;2018-03-28;00:45:10;2419;291
724233.708;4370656.471;186;2018-03-28;00:45:10;2420;50
723737.73;4370405.71399999969;116;2018-03-28;00:45:10;2422;145
723597.091;4370684.517;116;2018-03-28;00:45:10;2423;145
723847.09;4370455.543;227;2018-03-28;00:45:10;2424;20
723867.802;4370470.649;47;2018-03-28;00:30:10;2425;20
723934.082;4370552.69699999969;227;2018-03-27;23:30:12;2426;20
723956.71;4370570.012;47;2018-03-28;00:15:03;2427;166
724034.533;4370517.668;155;2018-03-28;00:45:10;2428;90
724017.443;4370643.32199999969;227;2018-03-28;00:30:10;2429;20
